STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-12,10.7,",W",2084,0,0,",0",5,",0",3,",0",1,",0",1,",0",0,",0",27,",0",2,",0",0,",0",0,",0",21,",0,16,+",2,",,0,16,",1.5,",,0,16,",0.78,",,0,01,",65,",0,01,",1526,0,942,",0",1.78,",,,0",2.1,",,,0",34.6,",0",40.7,",,,0",28.5,",,,0",320,",X",340,",X",36.9,",X",55,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2011-01,8.5,",W",0,X,0,",X",10,",X",4,",X",6,",X",2,",X",0,",X",26,",X",3,",X",0,",X",0,",X",17,",X,24,+",4,",,X,29,+",5,",,X,26,",1.52,",,X,26,",59,",X,02,",2498,X,972,",X",2.25,",,,X",7.3,",,,X",33.7,",X",39.7,",,,X",27.6,",,,X",280,",X",20,",X",29.1,",X",41,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2011-02,9.4,",W",0,X,0,",X",10,",X",6,",X",3,",X",0,",X",0,",X",16,",X",0,",X",4,",X",0,",X",19,",X,09,",2,",,X,01,",0.2,",,X,22,+",0.66,",,X,28,+",77,",X,18,",3149,X,652,",X",2.13,",,,X",0.5,",,,X",41.7,",X",51.2,",,,X",32.2,",,,X",300,",X",300,",X",40.9,",X",58,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2011-03,9.6,",W",0,X,0,",X",13,",X",7,",X",0,",X",0,",X",0,",X",7,",X",0,",X",2,",X",0,",X",27,",X,03,",0,",T,X,27,",0.2,",,X,27,",1.41,",,X,10,",80,",X,18,",3750,X,600,",X",4.39,",,,X",0.2,",,,X",45.6,",X",54,",,,X",37.2,",,,X",330,",X",320,",X",31.1,",X",43,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2011-04,10.3,",W",43,X,43,",X",14,",X",7,",X",0,",X",0,",X",0,",X",0,",X",0,",X",14,",X",0,",X",36,",X,06,+",0,",,X,30,+",0,",T,X,24,+",0.74,",,X,24,",86,",X,20,",3979,X,230,",X",3.2,",,,X",0,",T,,X",58.8,",X",68.6,",,,X",49,",,,X",140,",X",140,",X",44.1,",X",58,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2011-05,7.6,",W",195,X,153,",X",11,",X",5,",X",0,",X",0,",X",0,",X",0,",X",0,",X",26,",X",3,",X",46,",X,06,+",0,",,X,31,+",0,",,X,31,+",0.56,",,X,04,",98,",X,31,",4029,X,50,",X",1.7,",,,X",0,",,,X",68.3,",X",77.3,",,,X",59.3,",,,X",250,",X",260,",X",36,",X",45,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2011-06,7.6,",W",608,X,412,",X",10,",X",4,",X",0,",X",0,",X",0,",X",0,",X",0,",X",30,",X",10,",X",59,",X,15,",0,",,X,30,+",0,",T,X,01,",0.83,",,X,16,",102,",X,09,",4029,X,0,",X",1.69,",,,X",0,",T,,X",78.7,",X",87.9,",,,X",69.6,",,,X",190,",X",200,",X",33.1,",X",52,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2011-07,7.2,",W",1212,X,604,",X",6,",X",5,",X",0,",X",0,",X",0,",X",0,",X",0,",X",31,",X",25,",X",67,",X,16,",0,",,X,31,+",0,",,X,31,+",1.05,",,X,13,",104,",X,29,",0,X,0,",X",3.03,",,,X",0,",,,X",84.5,",X",93.6,",,,X",75.4,",,,X",340,",X",330,",X",40,",X",52,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2011-08,8.3,",W",1674,X,463,",X",12,",X",9,",X",0,",X",0,",X",0,",X",0,",X",0,",X",31,",X",12,",X",63,",X,30,+",0,",,X,31,+",0,",,X,31,+",3.33,",,X,27,",100,",X,01,",0,X,0,",X",8.93,",,,X",0,",,,X",79.9,",X",88.6,",,,X",71.3,",,,X",340,",X",340,",X",47,",X",60,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2011-09,6.3,",W",1878,X,204,",X",14,",X",9,",X",0,",X",0,",X",0,",X",0,",X",0,",X",26,",X",0,",X",49,",X,16,",0,",,X,30,+",0,",,X,30,+",2.82,",,X,07,",87,",X,14,+",15,X,15,",X",8.84,",,,X",0,",,,X",71.3,",X",77.6,",,,X",64.9,",,,X",350,",X",350,"2,X",29.1,",X",36,"2,X"
